Variável,Mean(ts),Std(ts),f_0(ts)
7598,0.8965000000000001,0.048479377058704046,0.799541245882592
7599,0.8852500000000001,0.04797069417884216,0.7893086116423158
7600,0.8877500000000002,0.04710294576775427,0.7935441084644916
7601,0.8785000000000001,0.05567988864931394,0.7671402227013722
7602,0.87875,0.04826683644076956,0.7822163271184609
7603,0.8867499999999999,0.050430025778299976,0.7858899484434
7604,0.8905,0.048833902158234285,0.7928321956835314
7605,0.8862499999999998,0.048909993866284626,0.7884300122674305
7606,0.8865000000000002,0.052371270750288273,0.7817574584994236
7607,0.88275,0.050335747734587204,0.7820785045308256
7608,0.8845000000000001,0.05508856505664311,0.7743228698867138
7609,0.8800000000000001,0.05556527692723217,0.7688694461455358
7610,0.8837500000000001,0.055042597140759986,0.7736648057184802
7611,0.8967499999999999,0.04645629666686746,0.803837406666265
7612,0.8875000000000002,0.049307707308290046,0.7888845853834201
7613,0.88375,0.05284115346962062,0.7780676930607588
7614,0.8867499999999999,0.051533362979724114,0.7836832740405517
7615,0.8855000000000001,0.048757050772170366,0.7879858984556594
7616,0.8832500000000002,0.04730948636373048,0.7886310272725392
7617,0.8810000000000001,0.05063595560468864,0.7797280887906228
7618,0.8835,0.04599184710359,0.79151630579282
7619,0.8892500000000001,0.05028108491271843,0.7886878301745632
7620,0.8917500000000002,0.04388265602718231,0.8039846879456355
7621,0.8890000000000002,0.05330572201931046,0.7823885559613794
7622,0.8815000000000001,0.0523951333617923,0.7767097332764155
7623,0.8842500000000001,0.04945389266781737,0.7853422146643654
7624,0.8822499999999998,0.048899769938109114,0.7844504601237815
7625,0.885,0.05645794895318107,0.7720841020936379
7626,0.8789999999999999,0.053117793628877315,0.7727644127422453
7627,0.88875,0.051644820650283994,0.7854603586994321
7628,0.8882499999999999,0.04879228934985527,0.7906654213002893
7629,0.8805,0.05641143501099757,0.7676771299780049
7630,0.88475,0.05048452733263926,0.7837809453347215
7631,0.8869999999999999,0.05814636704042652,0.7707072659191468
7632,0.8835000000000001,0.05027673418192555,0.782946531636149
7633,0.8957499999999999,0.046375505388081766,0.8029989892238364
7634,0.8805,0.05517925334761246,0.770141493304775
7635,0.884,0.04366348588924161,0.7966730282215168
7636,0.885,0.053033008588991064,0.7789339828220179
7637,0.8892500000000001,0.05077585548269965,0.7876982890346008
7638,0.8812500000000001,0.04852512235945418,0.7841997552810918
7639,0.8802500000000001,0.051026341236659334,0.7781973175266814
7640,0.8912500000000001,0.04903761311483258,0.793174773770335
7641,0.89325,0.049098752529977786,0.7950524949400444
7642,0.8919999999999999,0.05242613851887243,0.787147722962255
7643,0.8822500000000001,0.04773559992290869,0.7867788001541827
7644,0.8805,0.04994747240852134,0.7806050551829573
7645,0.882,0.047968739820845825,0.7860625203583084
7646,0.8940000000000002,0.04938623289946298,0.7952275342010743
7647,0.8867499999999999,0.05367203648083423,0.7794059270383314
7648,0.8905,0.052533322758036155,0.7854333544839276
7649,0.8854999999999998,0.04989739472156837,0.7857052105568632
7650,0.8860000000000001,0.05458021619598075,0.7768395676080386
7651,0.882,0.05256900227320279,0.7768619954535945
7652,0.8975,0.04968651728587948,0.798126965428241
7653,0.8825000000000002,0.052618912949622974,0.7772621741007543
7654,0.8792500000000001,0.053039490005089625,0.7731710199898209
7655,0.88475,0.05325586822125802,0.778238263557484
7656,0.8839999999999999,0.05402777063696039,0.7759444587260791
7657,0.8880000000000001,0.048923409529590234,0.7901531809408197
7658,0.8872500000000001,0.050558752951393095,0.7861324940972139
7659,0.8842500000000001,0.047651731343152696,0.7889465373136947
7660,0.8879999999999998,0.05836094584565949,0.7712781083086808
7661,0.8787500000000001,0.06513207735056514,0.7484858452988699
7662,0.8857500000000001,0.05102144157116693,0.7837071168576663
7663,0.885,0.05488624600025037,0.7752275079994992
7664,0.8965000000000002,0.04690682253148255,0.8026863549370351
7665,0.878,0.055031808983532424,0.7679363820329351
7666,0.8812499999999999,0.052006610156786814,0.7772367796864262
7667,0.88925,0.04978139712784284,0.7896872057443143
7668,0.8835,0.052941004901682784,0.7776179901966344
7669,0.8867499999999999,0.04993182852650201,0.7868863429469959
7670,0.8917500000000003,0.048612626960492476,0.7945247460790154
7671,0.8880000000000001,0.05617828762075256,0.775643424758495
7672,0.8927499999999999,0.04915473018947414,0.7944405396210517
7673,0.88975,0.047049840594841554,0.7956503188103169
7674,0.8827499999999999,0.04495761893161159,0.7928347621367767
7675,0.8845000000000001,0.05096322203314858,0.7825735559337029
7676,0.89275,0.048385819203564176,0.7959783615928717
